"team","average score","Ø prediction players","difference players","prediction robot","difference robot"
"YB",1.66666666666667,2.09711455641688,0.430447889750215,2.27777777777778,0.611111111111111
"Basel",1.72222222222222,1.82105943152455,0.168604651162791,2,0.277777777777778
"Lugano",1.5,1.16494401378122,0.347114556416882,1.22222222222222,0.277777777777778
"FCL",1.11111111111111,1.33634797588286,0.275193798449612,1.25,0.138888888888889
"Sion",1.13888888888889,1.12101636520241,0.14405684754522,1.22222222222222,0.0833333333333335
"FCSG",1.38888888888889,1.25710594315245,0.195521102497847,1.22222222222222,0.166666666666667
"FCZ",2.11111111111111,1.39707149009475,0.714039621016365,1.30555555555556,0.805555555555556
"GC",1.11111111111111,1.16946597760551,0.165159345391904,1.19444444444444,0.0833333333333333
"Lausanne",0.611111111111111,1.24203273040482,0.630921619293712,0.888888888888889,0.277777777777778
"Servette",1.22222222222222,1.38953488372093,0.191860465116279,1.30555555555556,0.0833333333333333
"Ø difference",NA,NA,0.326291989664083,NA,0.280555555555556
