"team","average score","Ø prediction players","difference players","prediction robot","difference robot"
"FCZ",1.15625,1.57219662058372,0.418794802867384,1.61111111111111,0.454861111111111
"Basel",1.3125,1.85970302099334,0.551427291346646,1.66666666666667,0.354166666666667
"YB",2.09375,1.963133640553,0.170266897081413,2.02777777777778,0.0659722222222223
"Lugano",1.46875,1.51216077828981,0.167130696364567,1.19444444444444,0.274305555555556
"FCSG",1.15625,1.45186891961086,0.302019329237071,1.36111111111111,0.204861111111111
"Servette",1.5,1.30235535074245,0.23015873015873,1.30555555555556,0.194444444444444
"Sion",0.96875,1.11661546338966,0.184155785970302,1.19444444444444,0.225694444444444
"GC",1.25,1.0715565796211,0.21326164874552,1.13888888888889,0.111111111111111
"FCL",1.4375,1.21095750128008,0.242351510496672,1.30555555555556,0.131944444444444
"Winti",1,0.95289298515105,0.139016897081413,1.05555555555556,0.0555555555555556
"Ø difference",NA,NA,0.261858358934972,NA,0.207291666666667
